"soort_id","euring_code","soort_naam","engelse_naam","n_getelde_cellen","n_positieve_cellen","n_jaren_geteld","n_positieve_jaren","n_actieve_plots","model_gelukt","model","model_overdispersion","model_serial_correlation","model_aic","model_fallback_reden","fout","waarschuwingen","modelpogingen","modelselectie_methode","analyse_categorie"
236,16490,"Groenling","greenfinch",622,68,26,22,20,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,NA,"model3_overdisp:fout:Found zero or less counts for year 11, 13, 15, 18 || model3_overdisp_serialcor:fout:Found zero or less counts for year 11, 13, 15, 18 || model3_basis:fout:Found zero or less counts for year 11, 13, 15, 18 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
237,16530,"Putter","goldfinch",622,46,26,16,14,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 7, 8, 9, 10, 11, 12, 13, 15, 16 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 7, 8, 9, 10, 11, 12, 13, 15, 16 || model3_basis:fout:Found zero or less counts for year 2, 7, 8, 9, 10, 11, 12, 13, 15, 16 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
238,16540,"Sijs","Eurasian Siskin",622,4,26,3,3,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 1 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25 || model3_basis:fout:Found zero or less counts for year 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
239,16600,"Kneu","common linnet",622,316,26,26,23,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
242,16634,"Kleine Barmsijs","Lesser Redpoll",622,9,26,6,5,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 2 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 2, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26 || model3_basis:fout:Found zero or less counts for year 2, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
243,16660,"Kruisbek","Crossbill",622,3,26,3,2,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 19 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25 || model3_basis:fout:Found zero or less counts for year 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
245,16790,"Roodmus","Common Rosefinch",622,1,26,1,1,FALSE,NA,FALSE,FALSE,NA,"geen_model","te_weinig_data",NA,NA,"vaste_voorkeurhierarchie_eerste_werkende_model","te_zeldzaam"
246,17100,"Goudvink","bullfinch",622,360,26,26,24,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,"Overdispersion 0.7 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
248,17170,"Appelvink","hawfinch",622,40,26,14,13,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 3, 4, 6, 8, 10, 11, 12 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 3, 4, 6, 8, 10, 11, 12 || model3_basis:fout:Found zero or less counts for year 2, 3, 4, 6, 8, 10, 11, 12 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
251,18770,"Rietgors","reed bunting",622,284,26,26,20,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,"Overdispersion 0.9 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
